ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"100nF"	"C1,C4,C11,C12,C15,C16,C17"	"C0402_NEW"	"7"	"CL05B104KO5NNNC"	"SAMSUNG(三星)"	"LCSC"	"C1525"	"0.001"
"2"	"4.7uF"	"C2,C9,C10"	"C0402"	"3"	"CL05A475KP5NRNC"	"SAMSUNG(三星)"	"LCSC"	"C368809"	"0.007"
"3"	"10uF"	"C3,C6,C7,C8,C13,C14,C18,C19"	"C0402"	"8"	"CL05A106MP5NUNC"	"SAMSUNG(三星)"	"LCSC"	"C315248"	"0.011"
"4"	"22uF"	"C5"	"C1206"	"1"	"CL31A226KAHNNNE"	"SAMSUNG(三星)"	"LCSC"	"C12891"	"0.048"
"5"	"B540C-13-F"	"D1"	"SMC_L7.1-W6.2-LS8.1-RD"	"1"	"B540C-13-F"	"DIODES(美台)"	"LCSC"	"C72264"	"0.101"
"6"	"LESD5D5.0CT1G"	"D2,D3,D4"	"SOD-523_L1.2-W0.8-LS1.6-BI"	"3"	"LESD5D5.0CT1G"	"LRC(乐山无线电)"	"LCSC"	"C383211"	"0.015"
"7"	"17-21SUYC/TR8"	"LED1"	"LED0805-R-RD"	"1"	"KT-0805黄灯"	"KENTO"	"LCSC"	"C2296"	"0.012"
"8"	"SZYY0805B"	"LED2,LED3"	"LED0805-R-RD_BLUE"	"2"	"SZYY0805B"	"yongyu(永裕光电)"	"LCSC"	"C434433"	"0.013"
"9"	"FPC 0.5MM 24P"	"P2"	"FPC-SMD_AFC07-S24FCC-00"	"1"	"AFC07-S24FCC-00"	"JS(钜硕电子)"	"LCSC"	"C11057"	"0.086"
"10"	"5.1kΩ"	"R1,R2,R27,R35"	"R0402"	"4"	"0402WGF5101TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25905"	"0.001"
"11"	"10kΩ"	"R3,R4,R5,R6,R30,R31"	"R0402"	"6"	"0402WGF1002TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25744"	"0.001"
"12"	"3.3kΩ"	"R7,R8,R24,R25"	"R0402"	"4"	"0402WGF3301TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25890"	"0.001"
"13"	"0Ω"	"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23"	"R0402"	"14"	"0402WGF0000TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C17168"	"0.001"
"14"	"1kΩ"	"R29"	"R0402"	"1"	"0402WGF1001TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C11702"	"0.001"
"15"	"100kΩ"	"R33,R34"	"R0402"	"2"	"0402WGF1003TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25741"	"0.001"
"16"	"560Ω"	"R36"	"R0402"	"1"	"0402WGF5600TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25126"	"0.001"
"17"	"GT-TC029B-H025-L1N"	"SW3,SW4"	"SW-SMD_L3.9-W3.0-P4.45"	"2"	"GT-TC029B-H025-L1N"	"G-Switch(品赞)"	"LCSC"	"C843669"	"0.06"
"18"	"ESP32-S3-WROOM-1(N16R8)"	"U1"	"WIRELM-SMD_ESP32-S3-WROOM-1"	"1"	"ESP32-S3-WROOM-1-N16R8"	"ESPRESSIF(乐鑫)"	"LCSC"	"C2913202"	"5.113"
"19"	"MCP73831-2DCI/MC"	"U2"	"DFN-8_L3.0-W2.0-P0.50-BL-EP"	"1"	"MCP73831-2DCI/MC"	"MICROCHIP(美国微芯)"	"LCSC"	"C635037"	"1.521"
"20"	"DMG3415U"	"U3"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1"	"1"	"DMG3415U"	"TECH PUBLIC(台舟)"	"LCSC"	"C7202986"	"0.062"
"21"	"AP2112K-3.3TRG1"	"U4"	"SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL"	"1"	"AP2112K-3.3TRG1"	"DIODES(美台)"	"LCSC"	"C51118"	"0.07"
"22"	"BMA253"	"U5"	"LGA-12_L2.0-W2.0-P0.50-BL"	"1"	"BMA253"	"Bosch(博世)"	"LCSC"	"C165275"	"1.047"
"23"	"VRD1528MTX"	"U6"	"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL"	"1"	"VRD1528MTX"	"AnaSem(安纳森)"	"LCSC"	"C697914"	"0.052"
"24"	"VCNL36821S"	"U7"	"VCNL36821S"	"1"	"VCNL36821S"	"Vishay Semiconductors"	"Mouser"	"78-VCNL36821S"	""
"25"	"KH-TYPE-C-16P"	"USB1"	"USB-C-SMD_KH-TYPE-C-16P"	"1"	"KH-TYPE-C-16P"	"kinghelm(金航标)"	"LCSC"	"C709357"	"0.081"
